Vardas              Pavarde             Galutinis           
Vardas9             Pavarde9            1.67                
Vardas10            Pavarde10           3.97                
Vardas12            Pavarde12           1.28                
Vardas14            Pavarde14           1.18                
Vardas16            Pavarde16           4.02                
Vardas17            Pavarde17           4.08                
Vardas18            Pavarde18           4.73                
Vardas22            Pavarde22           1.07                
Vardas23            Pavarde23           3.58                
Vardas27            Pavarde27           3.01                
Vardas31            Pavarde31           4.03                
Vardas34            Pavarde34           1.60                
Vardas37            Pavarde37           2.30                
Vardas38            Pavarde38           1.02                
Vardas40            Pavarde40           1.87                
Vardas48            Pavarde48           2.60                
Vardas52            Pavarde52           4.60                
Vardas57            Pavarde57           2.13                
Vardas58            Pavarde58           2.16                
Vardas60            Pavarde60           4.98                
Vardas61            Pavarde61           2.87                
Vardas63            Pavarde63           4.05                
Vardas67            Pavarde67           3.85                
Vardas69            Pavarde69           2.22                
Vardas74            Pavarde74           4.12                
Vardas77            Pavarde77           2.62                
Vardas78            Pavarde78           4.15                
Vardas82            Pavarde82           4.24                
Vardas84            Pavarde84           2.83                
Vardas86            Pavarde86           2.98                
Vardas87            Pavarde87           4.56                
Vardas88            Pavarde88           2.26                
Vardas99            Pavarde99           4.19                
Vardas100           Pavarde100          4.30                
Vardas101           Pavarde101          1.66                
Vardas106           Pavarde106          3.76                
Vardas108           Pavarde108          3.70                
Vardas112           Pavarde112          1.77                
Vardas113           Pavarde113          2.88                
Vardas114           Pavarde114          2.41                
Vardas115           Pavarde115          3.70                
Vardas116           Pavarde116          3.66                
Vardas117           Pavarde117          3.27                
Vardas118           Pavarde118          4.07                
Vardas119           Pavarde119          4.27                
Vardas123           Pavarde123          3.02                
Vardas124           Pavarde124          4.06                
Vardas126           Pavarde126          3.80                
Vardas127           Pavarde127          4.18                
Vardas128           Pavarde128          3.02                
Vardas134           Pavarde134          4.32                
Vardas135           Pavarde135          1.04                
Vardas136           Pavarde136          1.92                
Vardas137           Pavarde137          2.99                
Vardas141           Pavarde141          4.11                
Vardas144           Pavarde144          2.71                
Vardas145           Pavarde145          3.21                
Vardas146           Pavarde146          4.56                
Vardas151           Pavarde151          4.06                
Vardas155           Pavarde155          1.39                
Vardas157           Pavarde157          3.86                
Vardas159           Pavarde159          2.34                
Vardas160           Pavarde160          2.29                
Vardas162           Pavarde162          4.25                
Vardas165           Pavarde165          1.32                
Vardas166           Pavarde166          2.12                
Vardas168           Pavarde168          3.99                
Vardas172           Pavarde172          4.16                
Vardas175           Pavarde175          2.50                
Vardas178           Pavarde178          4.00                
Vardas181           Pavarde181          2.81                
Vardas183           Pavarde183          4.73                
Vardas184           Pavarde184          2.23                
Vardas186           Pavarde186          1.47                
Vardas189           Pavarde189          3.36                
Vardas191           Pavarde191          3.91                
Vardas193           Pavarde193          3.50                
Vardas194           Pavarde194          4.42                
Vardas196           Pavarde196          2.47                
Vardas197           Pavarde197          3.86                
Vardas198           Pavarde198          1.91                
Vardas200           Pavarde200          4.22                
Vardas201           Pavarde201          3.56                
Vardas203           Pavarde203          3.73                
Vardas204           Pavarde204          1.62                
Vardas205           Pavarde205          3.74                
Vardas206           Pavarde206          3.81                
Vardas208           Pavarde208          4.81                
Vardas213           Pavarde213          3.53                
Vardas217           Pavarde217          3.70                
Vardas222           Pavarde222          1.51                
Vardas224           Pavarde224          1.23                
Vardas225           Pavarde225          1.15                
Vardas228           Pavarde228          1.37                
Vardas231           Pavarde231          3.37                
Vardas232           Pavarde232          4.84                
